authors,title
"[Dao Lam, Donald C. Wunsch]",Unsupervised Feature Learning Classification With Radial Basis Function Extreme Learning Machine Using Graphic Processors.
"[Moiz Arif, Adnan K. Kiani, Junaid Qadir]",Machine learning based optimized live virtual machine migration over WAN links.
"[Mauro Brunato, Roberto Battiti]",A Telescopic Binary Learning Machine for Training Neural Networks.
"[Samuel Rota Bulò, Battista Biggio, Ignazio Pillai, Marcello Pelillo, Fabio Roli]",Randomized Prediction Games for Adversarial Machine Learning.
"[Zhizhong Han, Zhenbao Liu, Junwei Han, Chi-Man Vong, Shuhui Bu, Chun Lung Philip Chen]",Mesh Convolutional Restricted Boltzmann Machines for Unsupervised Learning of Features With Structure Preservation on 3-D Meshes.
"[Matthew J. Hausknecht, Wen-Ke Li, Michael D. Mauk, Peter Stone]",Machine Learning Capabilities of a Simulated Cerebellum.
"[Nikola K. Kasabov, Maryam Gholami Doborjeh, Zohreh Gholami Doborjeh]","Mapping, Learning, Visualization, Classification, and Understanding of fMRI Data in the NeuCube Evolving Spatiotemporal Data Machine of Spiking Neural Networks."
"[Fang Wang, Yiwen Wang 0002, Kai Xu, Hongbao Li, Yuxi Liao, Qiaosheng Zhang, Shaomin Zhang, Xiaoxiang Zheng, José C. Príncipe]",Quantized Attention-Gated Kernel Reinforcement Learning for Brain-Machine Interface Decoding.
"[Lei Zhang 0038, David Zhang]",Evolutionary Cost-Sensitive Extreme Learning Machine.
"[Yu-Jun Zheng 0001, Weiguo Sheng, Xing-Ming Sun, Sheng-Yong Chen]",Airline Passenger Profiling Based on Fuzzy Deep Machine Learning.
"[Jia Liu, Maoguo Gong, Qiguang Miao]",Neuron Learning Machine for Representation Learning.
"[Besmira Nushi, Ece Kamar, Eric Horvitz, Donald Kossmann]",On Human Intellect and Machine Failures - Troubleshooting Integrative Machine Learning Systems.
"[Shahroze Kabir, Frederic Sala, Guy Van den Broeck, Lara Dolecek]",Coded machine learning - Joint informed replication and learning for linear regression.
Kun Zhang,Causal Learning and Machine Learning.
"[Lina Chato, Shahram Latifi]",Machine Learning and Deep Learning Techniques to Predict Overall Survival of Brain Tumor Patients using MRI Images.
"[Nai Chun Chen, Wanqin Xie, Roy E. Welsch, Kent Larson, Jenny Xie]",Comprehensive Predictions of Tourists&apos; Next Visit Location Based on Call Detail Records Using Machine Learning and Deep Learning Methods.
"[Limeng Cui, Jiawei Zhang, Zhensong Chen, Yong Shi, Philip S. Yu]",Inverse extreme learning machine for learning with label proportions.
"[Andres Bueno, Guilherme Palermo Coelho, João Roberto Bertini Jr.]",Online Sequential Learning Based on Extreme Learning Machines for Particulate Matter Forecasting.
Sunday Olusanya Olatunji,Extreme Learning machines and Support Vector Machines models for email spam detection.
"[Zedong Tang, Maoguo Gong, Mingyang Zhang]",Evolutionary multi-task learning for modular extremal learning machine.
"[Pedro Casas, Juan Martin Vanerio, Kensuke Fukuda]","GML learning, a generic machine learning model for network measurements analysis."
"[Osama Nasser Alrajeh, Matthew Forshaw, Nigel Thomas]",Machine Learning Models for Predicting Timely Virtual Machine Live Migration.
"[Yeliz Karaca, Carlo Cattani, Majaz Moonis]",Comparison of Deep Learning and Support Vector Machine Learning for Subgroups of Multiple Sclerosis.
"[Dongshun Cui, Guang-Bin Huang, Liyanaarachchi Lekamalage Chamara Kasun, Guanghao Zhang, Wei Han]",Elmnet - Feature learning using extreme learning machines.
"[Fabian Traumer, Sarah Oeste-Reiß, Jan Marco Leimeister]",Towards a Future Reallocation of Work between Humans and Machines - Taxonomy of Tasks and Interaction Types in the Context of Machine Learning.
"[Songpon Sastrawaha, Punyaphol Horata]",Ensemble Extreme Learning Machine for Multi-instance Learning.
Enrique Angola,Novelty detection of rotating machinery using a non-parametric machine learning approach.
"[Stefan Glüge, Ronald Böck, Thomas Ott]",Emotion Recognition from Speech using Representation Learning in Extreme Learning Machines.
"[Raghad Al-Shabandar, Abir Hussain, Andy Laws, Robert Keight, Janet Lunn, Naeem Radi]",Machine learning approaches to predict learning outcomes in Massive open online courses.
"[Nikolaos G. Paterakis, Elena Mocanu, Madeleine Gibescu, Bart Stappers, Walter van Alst]",Deep learning versus traditional machine learning methods for aggregated energy demand prediction.
"[M. Anwar Ma&apos;sum, Dewa Made Sri Arsa, Novian Habibie, Wisnu Jatmiko]",Enhance generalized learning vector quantization using unsupervised extreme learning machine and intelligent K-means clustering.
"[Michael J. Junokas, Greg Kohlburn, Sahil Kumar, Benjamin Lane, Wai-Tat Fu, Robb Lindgren]",Using One-Shot Machine Learning to Implement Real-Time Multimodal Learning Analytics.
"[Ismael Baira Ojeda, Silvia Tolu, Henrik Hautop Lund]",A Scalable Neuro-inspired Robot Controller Integrating a Machine Learning Algorithm and a Spiking Cerebellar-Like Network.
Janina Schuhmacher,Machine Learning for User Learning.
"[Piyapong Khumrin, Anna Ryan, Terry S. Judd, Karin Verspoor]",Diagnostic Machine Learning Models for Acute Abdominal Pain - Towards an e-Learning Tool for Medical Students.
"[Donghoon Lee, Ye-seul Kim, Sunghoon Choi, Haenghwa Lee, Byungdu Jo, Seungyeon Choi, Jungwook Shin, Hee-Joung Kim]",A feasibility study of automatic lung nodule detection in chest digital tomosynthesis with machine learning based on support vector machine.
Stéphane Canu,"Machine Learning, deep learning and optimization in computer vision."
"[Adrian Calma, Daniel Kottke, Bernhard Sick, Sven Tomforde]",Learning to Learn - Dynamic Runtime Exploitation of Various Knowledge Sources and Machine Learning Paradigms.
"[Eli M. Dow, Jeanna N. Matthews]",A Host-Independent Supervised Machine Learning Approach to Automated Overload Detection in Virtual Machine Workloads.
Dan Brickley,Semantic Web - Learning from Machine Learning.
"[Yuto Omae, Tatsuro Furuya, Kazutaka Mizukoshi, Takayuki Oshima, Norihisa Sakakibara, Yoshiaki Mizuochi, Kazuhiro Yatsushiro, Hirotaka Takahashi]",Machine learning-based collaborative learning optimizer toward intelligent CSCL system.
"[Eli M. Dow, Jeanna N. Matthews]","A Host-Agnostic, Supervised Machine Learning Approach to Automated Overload Detection in Virtual Machine Workloads."
"[Mariela Cerrada, Fannia Pacheco, René-Vinicio Sánchez, Diego Cabrera, Jean Macancela, Pablo Lucero]",SOA Based Integrated Software to Develop Fault Diagnosis Models Using Machine Learning in Rotating Machinery.
"[Mahmoud Elbattah, Owen Molloy]",Learning about systems using machine learning - Towards more data-driven feedback loops.
"[Steve Hanneke, Lev Reyzin]","International Conference on Algorithmic Learning Theory, ALT 2017, 15-17 October 2017, Kyoto University, Kyoto, Japan"
"[Satyen Kale, Ohad Shamir]","Proceedings of the 30th Conference on Learning Theory, COLT 2017, Amsterdam, The Netherlands, 7-10 July 2017"
"[Georg Krempl, Vincent Lemaire, Robi Polikar, Bernhard Sick, Daniel Kottke, Adrian Calma]","Proceedings of the Workshop and Tutorial on Interactive Adaptive Learning co-located with European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2017), Skopje, Macedonia, September 18, 2017."
"[Moamar Sayed Mouchaweh, Albert Bifet, Hamid Bouchachia, João Gama, Rita Paula Ribeiro]","Proceedings of the Workshop on IoT Large Scale Learning from Data Streams co-located with the 2017 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML-PKDD 2017), Skopje, Macedonia, September 18-22, 2017."
"[Jan Peters 0001, Russ Tedrake, Nick Roy, Jun Morimoto]",Robot Learning.
"[Pieter Abbeel, Andrew Y. Ng]",Inverse Reinforcement Learning.
Peter Auer,Online Learning.
Gavin Brown,Ensemble Learning.
"[Varun Chandola, Arindam Banerjee, Vipin Kumar]",Active Learning.
"[Adam Coates, Pieter Abbeel, Andrew Y. Ng]",Autonomous Helicopter Flight Using Reinforcement Learning.
David Cohn,Active Learning.
Sanjoy Dasgupta,Active Learning Theory.
"[Gerald DeJong, Shiau Hong Lim]",Explanation-Based Learning.
Kurt Driessens,Relational Reinforcement Learning.
Yaakov Engel,Gaussian Process Reinforcement Learning.
Alan Fern,Speedup Learning.
Johannes Fürnkranz,Divide-and-Conquer Learning.
Johannes Fürnkranz,Rule Learning.
"[Johannes Fürnkranz, Eyke Hüllermeier]",Preference Learning.
Wulfram Gerstner,"Biological Learning - Synaptic Plasticity, Hebb Rule and Spike Timing Dependent Plasticity."
Bernhard Hengst,Hierarchical Reinforcement Learning.
Geoffrey E. Hinton,Boltzmann Machines.
"[Tamás Horváth, Stefan Wrobel]",Learning from Structured Data.
Marcus Hutter,Universal Learning Theory.
Christian Igel,Evolutionary Kernel Learning.
"[Sanjay Jain, Frank Stephan 0001]",Computational Complexity of Learning.
"[Sanjay Jain, Frank Stephan 0001]",Query-Based Learning.
"[Subbarao Kambhampati, Sung Wook Yoon]",Explanation-Based Learning for Planning.
Eamonn J. Keogh,Instance-Based Learning.
Kevin B. Korb,Learning Graphical Models.
Michail G. Lagoudakis,Least-Squares Reinforcement Learning Methods.
John Langford 0001,Efficient Exploration in Reinforcement Learning.
Hang Li,Learning to Rank.
"[Charles X. Ling, Victor S. Sheng]",Cost-Sensitive Learning.
"[Bin Liu, Geoffrey I. Webb]",Generative and Discriminative Learning.
"[Pietro Michelucci, Daniel Oblinger]",Cumulative Learning.
"[William Stafford Noble, Christina S. Leslie]",Learning Models of Biological Sequences.
Miles Osborne,Statistical Machine Translation.
Pascal Poupart,Bayesian Reinforcement Learning.
"[Luc De Raedt, Kristian Kersting]",Statistical Relational Learning.
"[Soumya Ray, Stephen Scott, Hendrik Blockeel]",Multi-Instance Learning.
"[Soumya Ray, Stephen Scott, Hendrik Blockeel]",Multiple-Instance Learning.
"[Soumya Ray, Prasad Tadepalli]",Model-Based Reinforcement Learning.
Claude Sammut,Concept Learning.
Claude Sammut,Learning as Search.
Jürgen Schmidhuber,Deep Learning.
Michèle Sebag,Nonstandard Criteria in Evolutionary Learning.
"[Viktoriia Sharmanska, Novi Quadrianto]",Learning Using Privileged Information.
"[Yoav Shoham, Rob Powers]",Multi-agent Learning.
"[Yoav Shoham, Rob Powers]",Multi-agent Learning Algorithms.
William D. Smart,Instance-Based Reinforcement Learning.
Peter Stone,Q-Learning.
Peter Stone,Reinforcement Learning.
Alexander L. Strehl,Associative Reinforcement Learning.
"[Jan Struyf, Hendrik Blockeel]",Relational Learning.
Prasad Tadepalli,Average-Reward Reinforcement Learning.
Paul E. Utgoff,Incremental Learning.
William T. B. Uther,Temporal Difference Learning.
Geoffrey I. Webb,Evaluation of Learning Algorithms.
Geoffrey I. Webb,Lazy Learning.
R. Paul Wiegand,Coevolutionary Learning.
Thomas Zeugmann,PAC Learning.
Thomas Zeugmann,Stochastic Finite Learning.
Xinhua Zhang,Support Vector Machines.
"[Fei Zheng, Geoffrey I. Webb]",Semi-naive Bayesian Learning.
"[Zhi-Hua Zhou, Min-Ling Zhang]",Multi-label Learning.
Xiaojin Zhu 0001,Semi-supervised Learning.
"[Henry D. I. Abarbanel, Paul Rozdeba, Sasha Shirman]","Machine Learning, Deepest Learning - Statistical Data Assimilation Problems."
"[Farah Bouassida, Lukasz Kidzinski, Pierre Dillenbourg]",Learning styles - Literature versus machine learning.
"[Frank E. Curtis, Katya Scheinberg]",Optimization Methods for Supervised Machine Learning - From Linear Models to Deep Learning.
"[Michail I. Schlesinger, Evgeniy Vodolazskiy]",Minimax deviation strategies for machine learning and recognition with short learning samples.
"[Leigh Sheneman, Arend Hintze]",Machine Learned Learning Machines.
